15662 275 28244
61 25 0
20 35 1
47 21 2
61 43 3
55 56 4
55 12 4
47 15 5
24 15 6
55 3 7
55 8 7
55 9 7
24 47 8
35 20 9
56 19 10
25 3 11
12 19 12
55 18 13
55 27 14
55 11 14
43 8 15
35 19 16
24 21 17
47 24 18
19 27 19
8 19 20
55 22 21
55 40 21
55 14 21
55 5 22
55 43 22
55 7 22
7 19 23
43 25 24
2 19 25
35 11 26
14 9 27
19 22 28
40 35 29
8 11 30
8 25 30
23 35 31
55 4 32
43 23 33
13 21 34
13 15 34
13 9 35
2 5 35
2 1 35
14 13 36
15 13 37
9 14 38
45 7 39
9 27 40
56 9 41
56 21 41
25 61 42
61 8 43
19 2 44
19 21 44
27 15 45
27 21 45
27 24 45
8 17 45
10 43 46
23 22 47
23 45 47
55 46 48
43 22 49
43 17 49
43 10 49
13 1 50
7 17 51
3 16 52
3 11 52
2 8 52
2 12 52
14 1 53
35 22 54
35 23 55
47 14 56
47 13 56
16 22 57
35 10 58
9 21 58
9 15 58
25 11 59
45 22 60
15 9 61
1 2 62
1 5 62
1 3 63
1 8 63
11 3 63
19 11 64
11 19 65
11 22 65
56 8 66
40 22 67
24 14 68
27 12 69
22 11 70
22 43 71
22 23 71
22 25 71
8 48 72
8 10 72
8 22 72
10 23 73
10 7 73
10 8 73
10 16 73
23 20 74
23 43 74
23 11 74
12 1 75
12 56 75
12 15 75
12 9 75
12 21 75
12 13 75
43 16 76
43 61 76
7 10 77
7 22 77
7 40 77
13 5 78
13 12 78
13 56 78
14 3 79
14 24 79
14 5 79
14 8 79
14 25 79
3 47 80
3 1 80
3 14 80
3 5 80
3 21 80
3 9 81
3 24 81
3 8 81
2 27 82
2 25 82
2 56 82
2 15 82
3 2 83
3 12 83
3 22 83
3 25 83
3 13 84
47 9 85
3 47 86
3 9 86
16 61 87
16 11 87
9 47 88
9 24 88
9 1 88
35 40 89
1 4 90
1 12 90
15 25 90
15 1 90
15 8 90
15 56 90
15 19 90
19 23 91
19 5 91
19 56 91
19 24 91
15 47 92
15 11 92
15 5 92
15 14 92
15 2 92
19 14 93
19 15 93
11 45 94
11 40 94
11 16 94
56 11 94
56 3 94
56 2 94
56 5 94
25 2 95
25 23 95
25 22 95
61 17 96
61 19 96
40 23 97
40 10 97
45 2 98
5 2 99
5 21 99
5 24 99
5 25 99
5 11 99
5 15 99
27 47 100
27 8 100
5 16 101
5 47 101
5 13 101
5 22 101
5 12 101
5 14 101
20 23 102
24 9 103
22 35 104
22 45 104
8 12 104
8 14 104
8 15 104
8 9 104
8 2 104
8 1 104
22 17 105
22 40 105
22 19 105
22 16 105
22 7 105
22 18 106
22 10 106
22 61 106
48 22 107
10 25 108
10 22 108
23 40 109
12 3 110
12 25 110
12 8 110
12 14 111
12 61 111
12 27 111
12 2 111
12 11 111
43 19 112
43 7 112
13 25 113
13 8 113
13 22 113
13 19 113
13 47 113
14 10 114
14 61 114
14 11 114
14 22 114
7 43 114
2 24 115
2 47 115
2 9 115
47 5 116
47 1 116
9 19 117
9 12 117
9 5 117
3 23 118
3 56 118
3 22 118
3 20 118
3 27 118
3 21 118
3 5 119
1 6 120
1 7 120
1 22 120
19 10 121
19 12 121
19 9 121
19 3 121
16 21 122
16 23 122
16 20 122
16 13 122
16 9 122
11 13 122
11 61 122
11 8 122
11 9 122
19 56 123
19 25 123
